inning,batting_team,bowling_team,over,ball,batsman,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,1,CH Gayle,B Kumar,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,2,CH Gayle,B Kumar,0,0,0,1,0,0,0,1,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,3,V Kohli,B Kumar,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,4,V Kohli,B Kumar,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,5,V Kohli,B Kumar,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,6,V Kohli,B Kumar,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,1,CH Gayle,BB Sran,0,1,0,0,0,0,0,1,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,2,CH Gayle,BB Sran,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,3,CH Gayle,BB Sran,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,4,CH Gayle,BB Sran,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,5,CH Gayle,BB Sran,0,1,0,0,0,0,0,1,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,6,CH Gayle,BB Sran,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,7,CH Gayle,BB Sran,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,8,CH Gayle,BB Sran,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,1,CH Gayle,B Kumar,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,2,CH Gayle,B Kumar,0,0,0,1,0,0,0,1,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,3,V Kohli,B Kumar,0,1,0,0,0,0,0,1,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,4,V Kohli,B Kumar,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,5,CH Gayle,B Kumar,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,6,CH Gayle,B Kumar,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,7,CH Gayle,B Kumar,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,4,1,CH Gayle,BB Sran,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,4,2,CH Gayle,BB Sran,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,4,3,CH Gayle,BB Sran,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,4,4,CH Gayle,BB Sran,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,4,5,CH Gayle,BB Sran,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,4,6,CH Gayle,BB Sran,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,5,1,V Kohli,BCJ Cutting,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,5,2,V Kohli,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,5,3,CH Gayle,BCJ Cutting,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,5,4,CH Gayle,BCJ Cutting,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,5,5,CH Gayle,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,5,6,V Kohli,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,1,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,2,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,3,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,4,CH Gayle,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,5,CH Gayle,Mustafizur Rahman,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,6,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,1,CH Gayle,MC Henriques,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,2,CH Gayle,MC Henriques,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,3,CH Gayle,MC Henriques,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,4,V Kohli,MC Henriques,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,5,V Kohli,MC Henriques,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,6,V Kohli,MC Henriques,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,1,V Kohli,BCJ Cutting,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,2,V Kohli,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,3,CH Gayle,BCJ Cutting,0,1,0,0,0,0,0,1,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,4,CH Gayle,BCJ Cutting,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,5,CH Gayle,BCJ Cutting,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,6,CH Gayle,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,7,V Kohli,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,9,1,V Kohli,MC Henriques,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,9,2,V Kohli,MC Henriques,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,9,3,CH Gayle,MC Henriques,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,9,4,CH Gayle,MC Henriques,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,9,5,CH Gayle,MC Henriques,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,9,6,CH Gayle,MC Henriques,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,1,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,2,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,3,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,4,CH Gayle,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,5,CH Gayle,Mustafizur Rahman,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,6,V Kohli,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,11,1,CH Gayle,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,11,2,V Kohli,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,11,3,CH Gayle,BCJ Cutting,0,0,0,0,0,0,0,0,0,CH Gayle,caught,Bipul Sharma
2,Royal Challengers Bangalore,Sunrisers Hyderabad,11,4,V Kohli,BCJ Cutting,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,11,5,V Kohli,BCJ Cutting,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,11,6,V Kohli,BCJ Cutting,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,1,AB de Villiers,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,2,V Kohli,Bipul Sharma,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,3,V Kohli,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,4,AB de Villiers,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,5,V Kohli,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,6,AB de Villiers,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,1,AB de Villiers,BB Sran,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,2,V Kohli,BB Sran,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,3,V Kohli,BB Sran,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,4,V Kohli,BB Sran,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,5,V Kohli,BB Sran,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,6,KL Rahul,BB Sran,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,1,KL Rahul,Bipul Sharma,0,0,0,0,0,0,4,0,4,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,2,KL Rahul,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,3,AB de Villiers,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,4,KL Rahul,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,5,AB de Villiers,Bipul Sharma,0,0,0,0,0,0,0,0,0,AB de Villiers,caught,MC Henriques
2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,6,KL Rahul,Bipul Sharma,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,1,KL Rahul,MC Henriques,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,2,SR Watson,MC Henriques,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,3,KL Rahul,MC Henriques,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,4,SR Watson,MC Henriques,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,5,SR Watson,MC Henriques,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,6,SR Watson,MC Henriques,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,16,1,KL Rahul,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,16,2,SR Watson,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,16,3,KL Rahul,BCJ Cutting,0,0,0,0,0,0,0,0,0,KL Rahul,bowled,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,16,4,Sachin Baby,BCJ Cutting,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,16,5,Sachin Baby,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,16,6,SR Watson,BCJ Cutting,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,1,SR Watson,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,2,SR Watson,Mustafizur Rahman,0,0,0,0,0,0,2,0,2,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,3,SR Watson,Mustafizur Rahman,0,0,0,0,0,0,0,0,0,SR Watson,caught,MC Henriques
2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,4,Sachin Baby,Mustafizur Rahman,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,5,STR Binny,Mustafizur Rahman,0,0,0,0,0,0,6,0,6,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,6,STR Binny,Mustafizur Rahman,0,0,0,0,0,0,1,0,1,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,18,1,STR Binny,B Kumar,0,0,0,0,0,0,0,0,0,,,
2,Royal Challengers Bangalore,Sunrisers Hyderabad,18,2,STR Binny,B Kumar,0,0,0,0,0,0,1,0,1,,,
