state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,03/01/2020,18000,18200,18100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,04/01/2020,17800,18000,17900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,05/01/2020,18000,18200,18100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,06/01/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,07/01/2020,18800,19100,19000
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,08/01/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,09/01/2020,19000,19300,19200
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,10/01/2020,17800,18100,18000
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,11/01/2020,19000,19200,19100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,12/01/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,13/01/2020,18800,19100,19000
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,14/01/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,16/01/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,17/01/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,18/01/2020,18000,18200,18100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,22/01/2020,18000,18200,18100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,23/01/2020,18000,18200,18100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,24/01/2020,19000,19200,19100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,27/01/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,31/01/2020,18900,19100,19000
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,01/02/2020,19200,19400,19300
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,07/02/2020,19000,19200,19100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,11/02/2020,19000,19200,19100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,13/02/2020,18000,18200,18100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,16/02/2020,17800,18000,17900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,18/02/2020,17800,18000,17900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,22/02/2020,19800,20000,19900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,25/02/2020,19000,19200,19100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,27/02/2020,19800,20000,19900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,01/03/2020,19200,19400,19300
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,02/03/2020,19800,20000,19900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,03/03/2020,19800,20000,19900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,04/03/2020,18800,19000,18900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,06/03/2020,19000,19200,19100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,07/03/2020,19200,19400,19300
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,11/03/2020,17800,18000,17900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,12/03/2020,17000,17200,17100
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,13/03/2020,17800,18000,17900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,20/03/2020,16800,17000,16900
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,23/03/2020,15600,15800,15700
Kerala,Alappuzha,Aroor,"Coconut Oil",Other,26/03/2020,18900,19100,19000
